"pidn","tstp","plev","psex","psed","pgen","pge2","pest","psne","reg1","reg2","reg3","lab1","lab2","lab3"
129,"22/11/2024 10:08:43",3,2,0,2,2,"Bernardo O'Higgins",0,5,4,4,5,1,1
130,"22/11/2024 10:23:55",3,2,0,2,2,"Bernardo O'Higgins",0,4,4,5,5,1,1
131,"22/11/2024 10:27:47",3,2,0,2,2,"Bernardo O'Higgins",0,4,4,4,5,2,2
132,"22/11/2024 10:30:16",3,2,0,2,2,"Bernardo O'Higgins",0,5,4,5,5,2,1
133,"25/11/2024 10:17:10",2,1,1,1,1,"Alemán",0,4,3,3,5,1,1
134,"25/11/2024 10:19:52",2,1,1,1,1,"Alemán",0,4,5,4,5,1,1
135,"25/11/2024 10:22:27",2,1,1,1,1,"Alemán",0,5,5,5,5,1,1
136,"25/11/2024 10:24:16",2,1,1,1,1,"Alemán",0,3,3,5,5,1,1
137,"25/11/2024 10:27:53",2,2,0,2,2,"Alemán",0,4,4,4,5,1,1
138,"26/11/2024 11:27:22",2,1,1,1,1,"Patagonia",0,5,5,5,5,1,1
139,"26/11/2024 11:29:10",2,1,1,1,1,"Patagonia",0,5,5,5,5,1,1
140,"26/11/2024 11:31:13",2,2,0,2,2,"Patagonia",0,5,4,5,4,1,1
141,"26/11/2024 11:33:42",2,1,1,1,1,"Patagonia",0,5,5,5,5,1,1
142,"26/11/2024 11:36:05",2,2,0,2,2,"Patagonia",0,5,5,5,5,1,1
143,"27/11/2024 11:05:04",2,1,1,1,1,"Británico",0,4,2,5,5,1,1
144,"27/11/2024 11:07:20",2,1,1,1,1,"Británico",0,4,4,5,5,1,1
145,"27/11/2024 11:08:17",2,1,1,1,1,"Británico",0,4,5,4,5,1,1
146,"27/11/2024 11:09:18",2,1,1,1,1,"Británico",0,3,3,1,5,1,1
147,"27/11/2024 13:03:28",2,1,1,1,1,"Británico",0,4,2,5,5,1,1
148,"27/11/2024 13:04:37",2,2,0,2,2,"Británico",0,5,5,5,5,3,1
149,"27/11/2024 13:05:59",2,2,0,2,2,"Británico",0,5,5,5,5,1,1
150,"29/11/2024 10:44:00",2,2,0,2,2,"Patagonia",1,5,1,5,5,5,1
151,"2/12/2024 10:25:56",2,1,1,1,1,"Don Bosco",0,2,2,4,4,2,2
152,"2/12/2024 10:27:58",2,1,1,1,1,"Don Bosco",0,4,4,4,4,2,2
